name,now_cost
Jack Taylor,4.8
Axel Tuanzebe,4.0
Christian Walton,4.4
Luke Woolfenden,4.0
Kalvin Phillips,4.9
Arijanet Muric,4.4
Conor Townsend,4.0
Sam Szmodics,5.9
Jens Cajuste,4.5
Dara O'Shea,4.0
Jack Clarke,5.5
Chiedozie Ogbene,5.0
Facundo Buonanotte,5.0
Jordan Ayew,5.2
Odsonne Edouard,5.3
Boubakary Soumaré,4.5
Tom Cannon,4.5
Hamza Choudhury,4.4
Conor Coady,4.0
Patson Daka,4.8
Bobby De Cordova-Reid,5.3
Wout Faes,4.1
Michael Golding,4.4
Mads Hermansen,4.5
Daniel Iversen,4.0
James Justin,4.5
Victor Kristiansen,4.5
Wanya Marçal-Madivádua,4.5
Stephy Mavididi,5.3
Kasey McAteer,4.8
Wilfred Ndidi,5.0
Caleb Okoli,4.0
Ricardo Barbosa Pereira,4.3
Harry Souttar,4.0
Jakub Stolarczyk,4.0
Luke Thomas,4.0
Jamie Vardy,5.7
Jannik Vestergaard,4.0
Danny Ward,4.0
Harry Winks,4.5
Oliver Skipp,4.9
Abdul Fatawu,5.4
Will Alves,4.5
Ben Nelson,4.0
Bilal El Khannouss,4.9
Alisson Ramses Becker,5.5
Trent Alexander-Arnold,7.1
Stefan Bajčetić Maquieira,4.5
Conor Bradley,4.7
Bobby Clark,4.5
Darwin Núñez Ribeiro,7.1
Diogo Teixeira da Silva,7.4
Ben Doak,4.5
Harvey Elliott,5.2
Endo Wataru,4.8
Cody Gakpo,7.1
Joe Gomez,4.8
Ryan Gravenberch,5.0
Curtis Jones,5.3
Caoimhin Kelleher,4.4
Ibrahima Konaté,5.2
Luis Díaz,8.1
Mohamed Salah,12.7
Alexis Mac Allister,6.3
James McConnell,4.5
Tyler Morton,4.5
Nathaniel Phillips,4.0
Jarell Quansah,4.1
Rhys Williams,4.0
Andrew Robertson,6.0
Dominik Szoboszlai,6.5
Konstantinos Tsimikas,4.7
Virgil van Dijk,6.0
Federico Chiesa,6.9
Vítezslav Jaros,4.0
Manuel Akanji,5.5
Nathan Aké,5.3
Bernardo Veiga de Carvalho e Silva,6.5
Oscar Bobb,4.8
Scott Carson,4.0
Kevin De Bruyne,9.4
Jérémy Doku,6.3
Ederson Santana de Moraes,5.5
Phil Foden,9.2
Jack Grealish,6.4
Joško Gvardiol,5.9
Erling Haaland,15.4
Julián Álvarez,7.0
João Cavaco Cancelo,5.3
Mateo Kovačić,5.5
Rico Lewis,4.7
Matheus Luiz Nunes,4.9
James McAtee,4.8
Stefan Ortega Moreno,5.3
Rodrigo 'Rodri' Hernandez,6.3
Rúben Gato Alves Dias,5.5
John Stones,5.3
Kyle Walker,5.3
Sávio 'Savinho' Moreira de Oliveira,6.5
