player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title
Facundo Pellistri,9.0,144.0,0.0,0.3742355145514011,1.0,0.0707708746194839,4.0,1.0,0.0,0.0,M S,Manchester United
Dane Scarlett,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Tottenham
Kaine Hayden,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Aston Villa
Jaden Philogene-Bidace,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Aston Villa
Chimuanya Ugochukwu,12.0,289.0,0.0,0.0,0.0,0.1854443699121475,0.0,3.0,2.0,0.0,M S,Chelsea
Jesurun Rak-Sakyi,6.0,124.0,0.0,0.3558422047644853,0.0,0.0768487639725208,5.0,2.0,0.0,0.0,S,Crystal Palace
Maxime Estève,16.0,1314.0,0.0,0.2405825015157461,0.0,0.0125734973698854,7.0,1.0,6.0,0.0,D S,Burnley
Daniel Jebbison,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Sheffield United
Tim Iroegbunam,9.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M S,Aston Villa
William Osula,21.0,769.0,0.0,2.0722835399210453,0.0,0.098784826695919,21.0,1.0,4.0,0.0,F S,Sheffield United
Issa Kabore,24.0,1748.0,0.0,0.3038460947573185,2.0,3.148332368582487,6.0,16.0,7.0,0.0,D S,Luton
David Raya,32.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,GK,Arsenal
Rico Henry,5.0,401.0,0.0,0.0453700954094529,1.0,0.7904934585094452,2.0,4.0,1.0,0.0,D,Brentford
Nuno Tavares,8.0,447.0,0.0,0.1731664137914776,0.0,0.2493439316749572,7.0,2.0,2.0,0.0,D S,Nottingham Forest
José Sá,35.0,3041.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,GK,Wolverhampton Wanderers
Andrew Omobamidele,11.0,771.0,0.0,0.0812814310193061,0.0,0.0772956404834985,1.0,2.0,2.0,0.0,D S,Nottingham Forest
Remi Matthews,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Crystal Palace
Gonzalo Montiel,14.0,809.0,0.0,0.1195196099579334,2.0,1.7303651086986065,3.0,9.0,5.0,0.0,D S,Nottingham Forest
Aaron Ramsey,14.0,516.0,0.0,0.4020077884197235,0.0,0.3915222883224487,6.0,1.0,1.0,0.0,M S,Burnley
Joe White,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,S,Newcastle United
Romeo Lavia,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Chelsea
Yasser Larouci,11.0,531.0,0.0,0.2587892366573214,0.0,0.3102901801466942,6.0,2.0,1.0,0.0,D S,Sheffield United
Kaide Gordon,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Liverpool
Owen Beck,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Liverpool
Hugo Bueno,22.0,706.0,0.0,0.2772597037255764,0.0,0.8462303951382637,5.0,5.0,1.0,0.0,D M S,Wolverhampton Wanderers
Myles Peart-Harris,3.0,3.0,0.0,0.0,0.0,0.0114118093624711,0.0,1.0,0.0,0.0,S,Brentford
Nathan Patterson,20.0,979.0,0.0,0.4520776625722646,2.0,1.616803351789713,4.0,8.0,4.0,0.0,D S,Everton
Josh Dasilva,3.0,16.0,0.0,0.0,0.0,0.1269184350967407,0.0,2.0,0.0,0.0,S,Brentford
Cesare Casadei,11.0,48.0,0.0,0.0,0.0,0.1186848040670156,0.0,2.0,0.0,0.0,S,Chelsea
Odeluga Offiah,4.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D S,Brighton
Carlos Baleba,27.0,1303.0,0.0,0.7727098371833563,0.0,0.446680839639157,21.0,8.0,7.0,0.0,M S,Brighton
Matt Turner,17.0,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,GK,Nottingham Forest
Manor Solomon,5.0,194.0,0.0,0.3894983045756817,2.0,0.9335471913218498,7.0,12.0,1.0,0.0,M S,Tottenham
Luke Harris,1.0,75.0,0.0,0.3384603559970855,0.0,0.0,1.0,0.0,0.0,0.0,S,Fulham
Stefan Bajcetic,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Liverpool
Ryan Christie,37.0,2974.0,0.0,2.0325705148279667,5.0,6.359501954168081,43.0,53.0,6.0,0.0,M S,Bournemouth
Jaidon Anthony,3.0,153.0,0.0,0.0768714845180511,0.0,0.0,2.0,0.0,1.0,0.0,M S,Bournemouth
James Hill,5.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D S,Bournemouth
Joe Worrall,7.0,440.0,0.0,0.0814925581216812,0.0,0.1285788267850875,2.0,2.0,0.0,1.0,D S,Nottingham Forest
Scott McKenna,5.0,420.0,0.0,0.1700837537646293,0.0,0.1904423832893371,2.0,3.0,0.0,0.0,D,Nottingham Forest
Lewis Warrington,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Everton
Lisandro Martínez,11.0,656.0,0.0,0.0,1.0,0.0476659638807177,0.0,3.0,3.0,0.0,D S,Manchester United
Jan Paul van Hecke,28.0,2365.0,0.0,1.5838892180472612,0.0,0.4882163163274526,15.0,10.0,4.0,0.0,D M S,Brighton
André Onana,38.0,3420.0,0.0,0.0,0.0,0.1317380405962467,0.0,3.0,5.0,0.0,GK,Manchester United
Santiago Bueno,12.0,817.0,0.0,0.0,0.0,0.190905986353755,0.0,2.0,1.0,0.0,D S,Wolverhampton Wanderers
Bobby Clark,5.0,79.0,0.0,0.0737958550453186,0.0,0.0,2.0,0.0,0.0,0.0,M S,Liverpool
Matheus Nunes,19.0,817.0,0.0,0.9250318259000778,2.0,1.5578467566519976,10.0,12.0,0.0,1.0,M S,"Manchester City,Wolverhampton Wanderers"
Julio Enciso,12.0,476.0,0.0,1.770764671266079,2.0,2.3733056373894215,28.0,9.0,2.0,0.0,M S,Brighton
Ethan Nwaneri,1.0,6.0,0.0,0.0,0.0,0.0245362166315317,0.0,1.0,0.0,0.0,S,Arsenal
Nathan Fraser,7.0,175.0,0.0,0.4309285432100296,0.0,0.0660940874367952,3.0,2.0,1.0,0.0,F S,Wolverhampton Wanderers
Ben Doak,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Liverpool
Thomas Cannon,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Everton
Divin Mubama,5.0,67.0,0.0,0.0542812757194042,0.0,0.0,1.0,0.0,0.0,0.0,S,West Ham
David Ozoh,9.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,S,Crystal Palace
Dominic Sadi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Bournemouth
Daniel Bentley,5.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK S,Wolverhampton Wanderers
Kaelan Casey,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,West Ham
Michael Olakigbe,8.0,35.0,0.0,0.0837424425408244,0.0,0.0,3.0,0.0,0.0,0.0,S,Brentford
Vitinho,32.0,2324.0,0.0,1.7635137159377337,2.0,1.0349685866385698,25.0,11.0,1.0,0.0,D M S,Burnley
Benson Manuel,8.0,91.0,0.0,0.098589944653213,0.0,0.0892248228192329,4.0,1.0,0.0,0.0,M S,Burnley
Anass Zaroury,6.0,141.0,0.0,0.1752443592995405,0.0,0.0479699922725558,3.0,2.0,0.0,1.0,F S,Burnley
