h_a,xG,xGA,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,time
a,1.00198,2.1922,2.1922,"{'att': 253, 'def': 28}","{'att': 316, 'def': 23}",8.0,9.0,0.0,1.0,0.4863,l,2023-12-06 20:15:00,0.0,0.0,1.0,0.0,-1.19022,
a,2.23353,0.689037,0.689037,"{'att': 153, 'def': 16}","{'att': 297, 'def': 28}",9.0,4.0,2.0,1.0,2.482,w,2023-12-10 14:00:00,1.0,0.0,0.0,3.0,1.544493,
h,2.41646,1.64977,0.888604,"{'att': 190, 'def': 25}","{'att': 319, 'def': 10}",5.0,4.0,2.0,2.0,1.913,d,2023-12-16 15:00:00,0.0,1.0,0.0,1.0,1.527856,
a,2.28321,1.23529,1.23529,"{'att': 153, 'def': 13}","{'att': 509, 'def': 23}",9.0,3.0,3.0,1.0,2.1493,w,2023-12-27 20:15:00,1.0,0.0,0.0,3.0,0.28675,
h,2.24229,0.263211,0.263211,"{'att': 134, 'def': 14}","{'att': 467, 'def': 4}",12.0,1.0,2.0,0.0,2.8184,w,2023-12-30 15:00:00,1.0,0.0,0.0,3.0,1.979079,
a,2.55452,1.23638,1.23638,"{'att': 157, 'def': 17}","{'att': 275, 'def': 16}",25.0,6.0,3.0,2.0,2.2802,w,2024-01-13 17:30:00,1.0,0.0,0.0,3.0,1.31814,
h,1.84756,1.49114,1.49114,"{'att': 161, 'def': 12}","{'att': 497, 'def': 22}",6.0,4.0,3.0,1.0,1.6338,w,2024-01-31 19:30:00,1.0,0.0,0.0,3.0,0.3564200000000002,
a,2.10785,0.865741,0.865741,"{'att': 161, 'def': 16}","{'att': 286, 'def': 11}",12.0,3.0,3.0,1.0,2.2386,w,2024-02-05 20:00:00,1.0,0.0,0.0,3.0,1.242109,
h,1.58971,0.192072,0.192072,"{'att': 176, 'def': 21}","{'att': 439, 'def': 17}",10.0,1.0,2.0,0.0,2.507,w,2024-02-10 12:30:00,1.0,0.0,0.0,3.0,1.397638,
h,2.77713,1.82903,1.82903,"{'att': 177, 'def': 24}","{'att': 298, 'def': 17}",29.0,9.0,1.0,1.0,1.9676,d,2024-02-17 17:30:00,0.0,1.0,0.0,1.0,0.9481000000000002,
h,2.53766,0.503799,0.503799,"{'att': 173, 'def': 14}","{'att': 193, 'def': 11}",19.0,1.0,1.0,0.0,2.6504000000000003,w,2024-02-20 18:30:00,1.0,0.0,0.0,3.0,2.033861,
a,1.79636,0.925889,0.925889,"{'att': 189, 'def': 14}","{'att': 302, 'def': 28}",13.0,8.0,1.0,0.0,2.1083,w,2024-02-24 17:30:00,1.0,0.0,0.0,3.0,0.870471,
h,2.64173,0.153764,0.153764,"{'att': 171, 'def': 17}","{'att': 309, 'def': 17}",26.0,1.0,3.0,1.0,2.8694,w,2024-03-03 15:30:00,1.0,0.0,0.0,3.0,2.487966,
a,1.37289,2.25492,1.49375,"{'att': 341, 'def': 23}","{'att': 285, 'def': 32}",5.0,9.0,1.0,1.0,0.7544,d,2024-03-10 15:45:00,0.0,1.0,0.0,1.0,-0.1208599999999999,
h,1.22009,0.511402,0.511402,"{'att': 140, 'def': 23}","{'att': 341, 'def': 29}",6.0,7.0,0.0,0.0,2.0676,d,2024-03-31 16:30:00,0.0,1.0,0.0,1.0,0.7086879999999999,
h,3.87704,1.18643,1.18643,"{'att': 215, 'def': 30}","{'att': 305, 'def': 14}",26.0,4.0,4.0,1.0,2.7411,w,2024-04-03 19:15:00,1.0,0.0,0.0,3.0,2.69061,
a,2.26381,1.49472,1.49472,"{'att': 158, 'def': 12}","{'att': 387, 'def': 19}",20.0,2.0,4.0,2.0,1.9056,w,2024-04-06 11:30:00,1.0,0.0,0.0,3.0,0.7690899999999998,
h,4.64245,0.809775,0.809775,"{'att': 179, 'def': 27}","{'att': 276, 'def': 8}",37.0,2.0,5.0,1.0,2.9314,w,2024-04-13 14:00:00,1.0,0.0,0.0,3.0,3.0715049999999997,
a,1.90507,0.572021,0.572021,"{'att': 314, 'def': 16}","{'att': 524, 'def': 18}",3.0,3.0,4.0,0.0,2.3991,w,2024-04-25 19:00:00,1.0,0.0,0.0,3.0,1.333049,
a,0.932063,2.17312,2.17312,"{'att': 168, 'def': 18}","{'att': 411, 'def': 14}",5.0,6.0,2.0,0.0,0.4806,w,2024-04-28 15:30:00,1.0,0.0,0.0,3.0,-1.241057,
h,4.52542,0.396887,0.396887,"{'att': 307, 'def': 22}","{'att': 329, 'def': 25}",19.0,1.0,5.0,1.0,2.9808999999999997,w,2024-05-04 16:30:00,1.0,0.0,0.0,3.0,2.606193,
a,3.15218,0.0886245,0.0886245,"{'att': 303, 'def': 17}","{'att': 470, 'def': 11}",13.0,1.0,4.0,0.0,2.9526000000000003,w,2024-05-11 11:30:00,1.0,0.0,0.0,3.0,2.3023855,
a,2.70331,1.84285,1.84285,"{'att': 377, 'def': 28}","{'att': 318, 'def': 28}",6.0,5.0,2.0,0.0,2.0442,w,2024-05-14 19:00:00,1.0,0.0,0.0,3.0,0.0992899999999998,
h,2.31504,0.240159,0.240159,"{'att': 192, 'def': 24}","{'att': 315, 'def': 5}",16.0,0.0,3.0,1.0,2.7409,w,2024-05-19 15:00:00,1.0,0.0,0.0,3.0,2.0748810000000004,
,89.54875299999999,,,,,,,,,,,,,,,,,
,89.54875299999999,,,,,,,,,,,,,,,,,0.0
