full_name,team,status,chance_of_playing_next_round,chance_of_playing_this_round
Luis Sinisterra,Bournemouth,Unavailable,0.0,0.0
Adam Smith,Bournemouth,Available,100.0,100.0
Marcus Tavernier,Bournemouth,Available,100.0,100.0
Mark Travers,Bournemouth,Available,100.0,100.0
Illia Zabarnyi,Bournemouth,Available,100.0,100.0
Kepa Arrizabalaga,Bournemouth,Available,100.0,100.0
Dean Huijsen,Bournemouth,Available,100.0,100.0
Julián Araujo Zúñiga,Bournemouth,Unavailable,0.0,0.0
Will Dennis,Bournemouth,Available,100.0,100.0
Francisco Evanilson de Lima Barbosa,Bournemouth,Available,100.0,100.0
Max Kinsey,Bournemouth,Available,100.0,100.0
Ben Winterburn,Bournemouth,Available,100.0,100.0
Kristoffer Ajer,Brentford,Unavailable,0.0,0.0
Ethan Brierley,Brentford,Available,100.0,100.0
Nathan Collins,Brentford,Available,100.0,100.0
Mikkel Damsgaard,Brentford,Available,100.0,100.0
Josh Dasilva,Brentford,Unavailable,0.0,0.0
Mark Flekken,Brentford,Available,100.0,100.0
Rico Henry,Brentford,Unavailable,0.0,0.0
Aaron Hickey,Brentford,Unavailable,0.0,0.0
Vitaly Janelt,Brentford,Available,100.0,100.0
Mathias Jensen,Brentford,Doubtful,75.0,100.0
Kim Ji-soo,Brentford,Available,100.0,100.0
Yunus Emre Konak,Brentford,Available,100.0,100.0
Keane Lewis-Potter,Brentford,Available,100.0,100.0
Bryan Mbeumo,Brentford,Available,100.0,100.0
Ben Mee,Brentford,Available,100.0,100.0
Christian Nørgaard,Brentford,Available,100.0,100.0
Frank Onyeka,Brentford,Unavailable,0.0,0.0
Myles Peart-Harris,Brentford,Unavailable,0.0,0.0
Ethan Pinnock,Brentford,Available,100.0,100.0
Mads Roerslev Rasmussen,Brentford,Available,100.0,100.0
Kevin Schade,Brentford,Available,100.0,100.0
Igor Thiago Nascimento Rodrigues,Brentford,Available,100.0,100.0
Ivan Toney,Brentford,Unavailable,0.0,0.0
Hákon Valdimarsson,Brentford,Available,100.0,100.0
Yoane Wissa,Brentford,Available,100.0,100.0
Yehor Yarmoliuk,Brentford,Available,100.0,100.0
Mathias Jorgensen,Brentford,Unavailable,0.0,0.0
Fábio Freitas Gouveia Carvalho,Brentford,Available,100.0,100.0
Sepp van den Berg,Brentford,Available,100.0,100.0
Ryan Trevitt,Brentford,Available,100.0,100.0
Gustavo Nunes Fernandes Gomes,Brentford,Unavailable,0.0,0.0
Jayden Meghoma,Brentford,Available,100.0,100.0
Tony Yogane,Brentford,Available,100.0,100.0
Paris Maghoma,Brentford,Available,100.0,100.0
Simon Adingra,Brighton,Available,100.0,100.0
Benicio Baker-Boaitey,Brighton,Unavailable,0.0,0.0
Carlos Baleba,Brighton,Available,100.0,0.0
Valentín Barco,Brighton,Unavailable,0.0,0.0
Amario Cozier-Duberry,Brighton,Unavailable,0.0,0.0
Mahmoud Dahoud,Brighton,Unavailable,0.0,0.0
Lewis Dunk,Brighton,Available,100.0,100.0
Julio Enciso,Brighton,Available,100.0,100.0
Pervis Estupiñán,Brighton,Available,100.0,100.0
Evan Ferguson,Brighton,Available,100.0,100.0
Billy Gilmour,Brighton,Unavailable,0.0,0.0
Pascal Groß,Brighton,Unavailable,0.0,0.0
Jack Hinshelwood,Brighton,Doubtful,25.0,25.0
Ibrahim Osman,Brighton,Unavailable,0.0,0.0
Igor Julio dos Santos de Paulo,Brighton,Available,100.0,100.0
João Pedro Junqueira de Jesus,Brighton,Available,100.0,100.0
Kacper Kozłowski,Brighton,Unavailable,0.0,0.0
Tariq Lamptey,Brighton,Available,100.0,100.0
Solly March,Brighton,Doubtful,25.0,25.0
Adrian Mazilu,Brighton,Unavailable,0.0,0.0
James Milner,Brighton,Unavailable,0.0,0.0
Yankuba Minteh,Brighton,Available,100.0,100.0
Mitoma Kaoru,Brighton,Available,100.0,100.0
Jakub Moder,Brighton,Available,100.0,100.0
Mark O’Mahony,Brighton,Unavailable,0.0,0.0
Odeluga Offiah,Brighton,Unavailable,0.0,0.0
Cameron Peupion,Brighton,Available,100.0,100.0
Jeremy Sarmiento Morante,Brighton,Unavailable,0.0,0.0
Jason Steele,Brighton,Available,100.0,100.0
Deniz Undav,Brighton,Unavailable,0.0,0.0
Jan Paul van Hecke,Brighton,Available,100.0,100.0
Joël Veltman,Brighton,Doubtful,75.0,100.0
Bart Verbruggen,Brighton,Available,100.0,100.0
Adam Webster,Brighton,Doubtful,25.0,25.0
Danny Welbeck,Brighton,Available,100.0,100.0
Mats Wieffer,Brighton,Available,100.0,100.0
Brajan Gruda,Brighton,Doubtful,75.0,100.0
Yasin Ayari,Brighton,Available,100.0,100.0
Andrew Moran,Brighton,Unavailable,0.0,0.0
Carl Rushworth,Brighton,Unavailable,0.0,0.0
Georginio Rutter,Brighton,Available,100.0,100.0
Ferdi Kadioglu,Brighton,Doubtful,50.0,50.0
Matt O'Riley,Brighton,Available,100.0,100.0
Imari Samuels,Brighton,Available,100.0,100.0
Killian Cahill,Brighton,Available,100.0,100.0
Ruairi McConville,Brighton,Available,100.0,100.0
Jacob Slater,Brighton,Available,100.0,100.0
Andrey Nascimento dos Santos,Chelsea,Unavailable,0.0,0.0
Ângelo Gabriel Borges Damaceno,Chelsea,Unavailable,0.0,0.0
Benoît Badiashile,Chelsea,Available,100.0,100.0
Lucas Bergström,Chelsea,Available,100.0,100.0
Marcus Bettinelli,Chelsea,Available,100.0,100.0
Moisés Caicedo Corozo,Chelsea,Available,100.0,100.0
Cesare Casadei,Chelsea,Available,100.0,100.0
Ben Chilwell,Chelsea,Available,100.0,100.0
Carney Chukwuemeka,Chelsea,Available,100.0,100.0
Levi Colwill,Chelsea,Available,100.0,100.0
Marc Cucurella Saseta,Chelsea,Available,100.0,100.0
David Datro Fofana,Chelsea,Unavailable,0.0,0.0
Deivid Washington de Souza Eugênio,Chelsea,Available,100.0,100.0
Kiernan Dewsbury-Hall,Chelsea,Available,100.0,100.0
Axel Disasi,Chelsea,Available,100.0,100.0
Enzo Fernández,Chelsea,Available,100.0,100.0
Conor Gallagher,Chelsea,Unavailable,0.0,0.0
Alfie Gilchrist,Chelsea,Unavailable,0.0,0.0
Malo Gusto,Chelsea,Available,100.0,100.0
Reece James,Chelsea,Unavailable,0.0,0.0
Omari Kellyman,Chelsea,Unavailable,0.0,0.0
Roméo Lavia,Chelsea,Available,100.0,100.0
Romelu Lukaku Bolingoli,Chelsea,Unavailable,0.0,0.0
Malang Sarr,Chelsea,Unavailable,0.0,0.0
Noni Madueke,Chelsea,Available,100.0,100.0
Marc Guiu Paz,Chelsea,Available,100.0,100.0
Mykhailo Mudryk,Chelsea,Available,100.0,100.0
Nicolas Jackson,Chelsea,Available,100.0,100.0
Christopher Nkunku,Chelsea,Available,100.0,100.0
Cole Palmer,Chelsea,Available,100.0,100.0
Đorđe Petrović,Chelsea,Unavailable,0.0,0.0
Renato Palma Veiga,Chelsea,Available,100.0,100.0
Robert Sánchez,Chelsea,Available,100.0,100.0
Tosin Adarabioyo,Chelsea,Available,100.0,100.0
Wesley Fofana,Chelsea,Available,100.0,100.0
Jadon Sancho,Chelsea,Available,100.0,100.0
Pedro Lomba Neto,Chelsea,Doubtful,75.0,75.0
Caleb Wiley,Chelsea,Unavailable,0.0,0.0
Filip Jørgensen,Chelsea,Available,100.0,100.0
João Félix Sequeira,Chelsea,Available,100.0,100.0
Eddie Nketiah,Crystal Palace,Available,100.0,100.0
Trevoh Chalobah,Crystal Palace,Available,100.0,100.0
Naouirou Ahamada,Crystal Palace,Unavailable,0.0,0.0
Cheick Doucouré,Crystal Palace,Available,100.0,100.0
Chris Richards,Crystal Palace,Available,100.0,100.0
Chadi Riad Dnanou,Crystal Palace,Unavailable,0.0,0.0
Nathaniel Clyne,Crystal Palace,Available,100.0,100.0
Malcolm Ebiowei,Crystal Palace,Unavailable,0.0,0.0
Eberechi Eze,Crystal Palace,Available,100.0,100.0
Marc Guéhi,Crystal Palace,Available,100.0,100.0
Dean Henderson,Crystal Palace,Available,100.0,100.0
Rob Holding,Crystal Palace,Available,100.0,100.0
Will Hughes,Crystal Palace,Available,100.0,100.0
Daichi Kamada,Crystal Palace,Unavailable,0.0,0.0
Jefferson Lerma Solís,Crystal Palace,Available,100.0,100.0
Jean-Philippe Mateta,Crystal Palace,Available,100.0,100.0
Matheus França de Oliveira,Crystal Palace,Unavailable,0.0,0.0
Remi Matthews,Crystal Palace,Available,100.0,100.0
Tyrick Mitchell,Crystal Palace,Available,100.0,100.0
Daniel Muñoz,Crystal Palace,Available,100.0,100.0
David Ozoh,Crystal Palace,Unavailable,0.0,0.0
Jesurun Rak-Sakyi,Crystal Palace,Unavailable,0.0,0.0
Jeffrey Schlupp,Crystal Palace,Available,100.0,100.0
Joel Ward,Crystal Palace,Available,100.0,100.0
Adam Wharton,Crystal Palace,Unavailable,0.0,0.0
Matt Turner,Crystal Palace,Available,100.0,100.0
Ismaïla Sarr,Crystal Palace,Available,100.0,100.0
Franco Umeh-Chibueze,Crystal Palace,Doubtful,25.0,25.0
Justin Devenny,Crystal Palace,Available,100.0,100.0
Asher Agbinone,Crystal Palace,Available,100.0,100.0
Kaden Rodney,Crystal Palace,Available,100.0,100.0
Maxence Lacroix,Crystal Palace,Available,100.0,100.0
Caleb Kporha,Crystal Palace,Available,100.0,100.0
Zach Marsh,Crystal Palace,Available,100.0,100.0
Armando Broja,Everton,Doubtful,75.0,75.0
Abdoulaye Doucouré,Everton,Available,100.0,100.0
Norberto Bercique Gomes Betuncal,Everton,Available,100.0,100.0
Jarrad Branthwaite,Everton,Available,100.0,100.0
Dominic Calvert-Lewin,Everton,Available,100.0,100.0
Séamus Coleman,Everton,Doubtful,25.0,25.0
Idrissa Gueye,Everton,Available,100.0,100.0
James Garner,Everton,Unavailable,0.0,0.0
Jack Harrison,Everton,Available,100.0,100.0
Mason Holgate,Everton,Unavailable,0.0,0.0
Tim Iroegbunam,Everton,Unavailable,0.0,0.0
João Neves Virgínia,Everton,Available,100.0,100.0
Michael Keane,Everton,Available,100.0,100.0
Neal Maupay,Everton,Unavailable,0.0,0.0
Dwight McNeil,Everton,Available,100.0,100.0
Vitalii Mykolenko,Everton,Available,100.0,100.0
Iliman Ndiaye,Everton,Available,100.0,100.0
Nathan Patterson,Everton,Available,100.0,100.0
Jordan Pickford,Everton,Available,100.0,100.0
James Tarkowski,Everton,Available,100.0,100.0
Youssef Ramalho Chermiti,Everton,Unavailable,0.0,0.0
Ashley Young,Everton,Available,100.0,100.0
Jesper Lindstrøm,Everton,Available,100.0,100.0
Jake O'Brien,Everton,Available,100.0,100.0
Harrison Armstrong,Everton,Available,100.0,100.0
Jenson Metcalfe,Everton,Unavailable,0.0,0.0
Asmir Begovic,Everton,Available,100.0,100.0
Roman Dixon,Everton,Available,100.0,100.0
Orel Mangala,Everton,Available,100.0,100.0
Callum Bates,Everton,Available,100.0,100.0
Reiss Nelson,Fulham,Available,100.0,100.0
Emile Smith Rowe,Fulham,Available,100.0,100.0
Joachim Andersen,Fulham,Unavailable,0.0,0.0
Adama Traoré,Fulham,Available,100.0,100.0
Andreas Hoelgebaum Pereira,Fulham,Available,100.0,100.0
Calvin Bassey,Fulham,Available,100.0,100.0
Steven Benda,Fulham,Available,100.0,100.0
Tom Cairney,Fulham,Available,100.0,100.0
Timothy Castagne,Fulham,Available,100.0,100.0
Issa Diop,Fulham,Available,100.0,100.0
Luke Harris,Fulham,Unavailable,0.0,0.0
Alex Iwobi,Fulham,Available,100.0,100.0
Bernd Leno,Fulham,Available,100.0,100.0
Saša Lukić,Fulham,Available,100.0,100.0
Kevin Mbabu,Fulham,Unavailable,0.0,0.0
Rodrigo Muniz Carvalho,Fulham,Available,100.0,100.0
Raúl Jiménez,Fulham,Available,100.0,100.0
Tim Ream,Fulham,Unavailable,0.0,0.0
Harrison Reed,Fulham,Unavailable,0.0,0.0
Antonee Robinson,Fulham,Available,100.0,100.0
Jay Stansfield,Fulham,Unavailable,0.0,0.0
Kenny Tete,Fulham,Available,100.0,100.0
Carlos Vinícius Alves Morais,Fulham,Available,100.0,100.0
Harry Wilson,Fulham,Available,100.0,100.0
Ryan Sessegnon,Fulham,Doubtful,75.0,75.0
Jorge Cuenca Barreno,Fulham,Unavailable,0.0,0.0
Josh King,Fulham,Available,100.0,100.0
Martial Godo,Fulham,Available,100.0,100.0
Sander Berge,Fulham,Available,100.0,100.0
Ali Al-Hamadi,Ipswich,Available,100.0,100.0
Elkan Baggott,Ipswich,Unavailable,0.0,0.0
Nathan Broadhead,Ipswich,Available,100.0,100.0
Cameron Burgess,Ipswich,Available,100.0,100.0
Wes Burns,Ipswich,Available,100.0,100.0
Conor Chaplin,Ipswich,Available,100.0,100.0
Harry Clarke,Ipswich,Available,100.0,100.0
Leif Davis,Ipswich,Available,100.0,100.0
Liam Delap,Ipswich,Available,100.0,100.0
George Edmundson,Ipswich,Unavailable,0.0,0.0
Jacob Greaves,Ipswich,Available,100.0,100.0
Marcus Myers-Harness,Ipswich,Unavailable,0.0,0.0
George Hirst,Ipswich,Unavailable,0.0,0.0
Cameron Humphreys,Ipswich,Unavailable,0.0,0.0
Omari Giraud-Hutchinson,Ipswich,Available,100.0,100.0
Ben Johnson,Ipswich,Doubtful,75.0,75.0
Freddie Ladapo,Ipswich,Unavailable,0.0,0.0
Massimo Luongo,Ipswich,Available,100.0,100.0
Sam Morsy,Ipswich,Available,100.0,100.0
Corrie Ndaba,Ipswich,Unavailable,0.0,0.0
Cieran Slicker,Ipswich,Available,100.0,100.0
Jack Taylor,Ipswich,Available,100.0,100.0
Axel Tuanzebe,Ipswich,Doubtful,75.0,100.0
Christian Walton,Ipswich,Available,100.0,100.0
Luke Woolfenden,Ipswich,Available,100.0,100.0
Kalvin Phillips,Ipswich,Doubtful,75.0,75.0
Arijanet Muric,Ipswich,Available,100.0,100.0
Conor Townsend,Ipswich,Available,100.0,100.0
Sam Szmodics,Ipswich,Available,100.0,100.0
Jens Cajuste,Ipswich,Available,100.0,100.0
Dara O'Shea,Ipswich,Available,100.0,100.0
Jack Clarke,Ipswich,Available,100.0,100.0
Chiedozie Ogbene,Ipswich,Unavailable,0.0,0.0
Facundo Buonanotte,Leicester,Available,100.0,100.0
Jordan Ayew,Leicester,Available,100.0,100.0
Odsonne Edouard,Leicester,Available,100.0,100.0
Boubakary Soumaré,Leicester,Available,100.0,100.0
Tom Cannon,Leicester,Unavailable,0.0,0.0
Hamza Choudhury,Leicester,Available,100.0,100.0
Conor Coady,Leicester,Available,100.0,100.0
Patson Daka,Leicester,Available,100.0,100.0
Bobby De Cordova-Reid,Leicester,Available,100.0,100.0
Wout Faes,Leicester,Available,100.0,100.0
Michael Golding,Leicester,Available,100.0,100.0
Mads Hermansen,Leicester,Available,100.0,100.0
Daniel Iversen,Leicester,Available,100.0,100.0
James Justin,Leicester,Available,100.0,100.0
Victor Kristiansen,Leicester,Available,100.0,100.0
Wanya Marçal-Madivádua,Leicester,Unavailable,0.0,0.0
Stephy Mavididi,Leicester,Available,100.0,100.0
Kasey McAteer,Leicester,Available,100.0,100.0
Wilfred Ndidi,Leicester,Available,100.0,100.0
Caleb Okoli,Leicester,Doubtful,75.0,100.0
Ricardo Barbosa Pereira,Leicester,Unavailable,0.0,0.0
Harry Souttar,Leicester,Unavailable,0.0,0.0
Jakub Stolarczyk,Leicester,Unavailable,0.0,0.0
Luke Thomas,Leicester,Available,100.0,100.0
Jamie Vardy,Leicester,Available,100.0,100.0
Jannik Vestergaard,Leicester,Available,100.0,100.0
Danny Ward,Leicester,Available,100.0,100.0
Harry Winks,Leicester,Doubtful,50.0,25.0
Oliver Skipp,Leicester,Available,100.0,100.0
Abdul Fatawu,Leicester,Unavailable,0.0,0.0
Will Alves,Leicester,Available,100.0,100.0
Ben Nelson,Leicester,Unavailable,0.0,0.0
Bilal El Khannouss,Leicester,Available,100.0,100.0
Alisson Ramses Becker,Liverpool,Doubtful,50.0,50.0
Trent Alexander-Arnold,Liverpool,Available,100.0,100.0
Stefan Bajčetić Maquieira,Liverpool,Unavailable,0.0,0.0
Conor Bradley,Liverpool,Doubtful,50.0,50.0
Bobby Clark,Liverpool,Unavailable,0.0,0.0
Darwin Núñez Ribeiro,Liverpool,Available,100.0,100.0
Diogo Teixeira da Silva,Liverpool,Doubtful,50.0,50.0
Ben Doak,Liverpool,Unavailable,0.0,0.0
Harvey Elliott,Liverpool,Available,100.0,100.0
Endo Wataru,Liverpool,Available,100.0,100.0
Cody Gakpo,Liverpool,Available,100.0,100.0
Joe Gomez,Liverpool,Available,100.0,100.0
Ryan Gravenberch,Liverpool,Available,100.0,100.0
Curtis Jones,Liverpool,Available,100.0,100.0
Caoimhin Kelleher,Liverpool,Available,100.0,100.0
Ibrahima Konaté,Liverpool,Doubtful,25.0,25.0
Luis Díaz,Liverpool,Available,100.0,100.0
Mohamed Salah,Liverpool,Available,100.0,100.0
Alexis Mac Allister,Liverpool,Available,100.0,100.0
James McConnell,Liverpool,Available,100.0,100.0
Tyler Morton,Liverpool,Available,100.0,100.0
Nathaniel Phillips,Liverpool,Unavailable,0.0,0.0
Jarell Quansah,Liverpool,Available,100.0,100.0
Rhys Williams,Liverpool,Unavailable,0.0,0.0
Andrew Robertson,Liverpool,Available,100.0,100.0
Dominik Szoboszlai,Liverpool,Available,100.0,100.0
Konstantinos Tsimikas,Liverpool,Doubtful,50.0,50.0
Virgil van Dijk,Liverpool,Available,100.0,100.0
Federico Chiesa,Liverpool,Doubtful,50.0,50.0
Vítezslav Jaros,Liverpool,Available,100.0,100.0
Harvey Davies,Liverpool,Available,100.0,100.0
Manuel Akanji,Man City,Available,100.0,100.0
Nathan Aké,Man City,Available,100.0,100.0
Bernardo Veiga de Carvalho e Silva,Man City,Available,100.0,100.0
Oscar Bobb,Man City,Unavailable,0.0,0.0
Scott Carson,Man City,Available,100.0,100.0
Kevin De Bruyne,Man City,Available,100.0,100.0
Jérémy Doku,Man City,Doubtful,75.0,75.0
Ederson Santana de Moraes,Man City,Available,100.0,100.0
Phil Foden,Man City,Available,100.0,100.0
Jack Grealish,Man City,Available,100.0,100.0
Joško Gvardiol,Man City,Available,100.0,100.0
Erling Haaland,Man City,Available,100.0,100.0
Julián Álvarez,Man City,Unavailable,0.0,0.0
João Cavaco Cancelo,Man City,Unavailable,0.0,0.0
Mateo Kovačić,Man City,Unavailable,0.0,0.0
Rico Lewis,Man City,Available,100.0,100.0
Matheus Luiz Nunes,Man City,Available,100.0,100.0
James McAtee,Man City,Available,100.0,100.0
Stefan Ortega Moreno,Man City,Available,100.0,100.0
Rodrigo 'Rodri' Hernandez,Man City,Unavailable,0.0,0.0
Rúben Gato Alves Dias,Man City,Available,100.0,100.0
John Stones,Man City,Available,100.0,100.0
Kyle Walker,Man City,Available,100.0,100.0
Sávio 'Savinho' Moreira de Oliveira,Man City,Available,100.0,100.0
Nico O'Reilly,Man City,Available,100.0,100.0
Ilkay Gündogan,Man City,Available,100.0,100.0
Issa Kaboré,Man City,Unavailable,0.0,0.0
Jacob Wright,Man City,Available,100.0,100.0
Jahmai Simpson-Pusey,Man City,Available,100.0,100.0
Josh Wilson-Esbrand,Man City,Available,100.0,100.0
Amad Diallo,Man Utd,Available,100.0,100.0
Antony Matheus dos Santos,Man Utd,Available,100.0,100.0
Bruno Borges Fernandes,Man Utd,Available,100.0,100.0
Altay Bayindir,Man Utd,Available,100.0,100.0
Carlos Henrique Casimiro,Man Utd,Available,100.0,100.0
Diogo Dalot Teixeira,Man Utd,Available,100.0,100.0
Christian Eriksen,Man Utd,Available,100.0,100.0
Jonny Evans,Man Utd,Available,100.0,100.0
Alejandro Garnacho,Man Utd,Available,100.0,100.0
Hannibal Mejbri,Man Utd,Unavailable,0.0,0.0
Tom Heaton,Man Utd,Available,100.0,100.0
Rasmus Højlund,Man Utd,Available,100.0,100.0
Victor Lindelöf,Man Utd,Doubtful,50.0,50.0
Harry Maguire,Man Utd,Doubtful,50.0,50.0
Kobbie Mainoo,Man Utd,Available,100.0,100.0
Tyrell Malacia,Man Utd,Available,100.0,100.0
Lisandro Martínez,Man Utd,Available,100.0,100.0
Scott McTominay,Man Utd,Unavailable,0.0,0.0
Mason Mount,Man Utd,Available,100.0,100.0
André Onana,Man Utd,Available,100.0,100.0
Facundo Pellistri Rebollo,Man Utd,Unavailable,0.0,0.0
Marcus Rashford,Man Utd,Available,100.0,100.0
Luke Shaw,Man Utd,Available,100.0,100.0
Joshua Zirkzee,Man Utd,Available,100.0,100.0
Leny Yoro,Man Utd,Doubtful,50.0,50.0
Matthijs de Ligt,Man Utd,Available,100.0,100.0
Noussair Mazraoui,Man Utd,Available,100.0,100.0
Toby Collyer,Man Utd,Available,100.0,100.0
Ethan Wheatley,Man Utd,Available,100.0,100.0
Manuel Ugarte,Man Utd,Available,100.0,100.0
Jack Fletcher,Man Utd,Available,100.0,100.0
Harry Amass,Man Utd,Available,100.0,100.0
Jayce Fitzgerald,Man Utd,Available,100.0,100.0
Alex Murphy,Newcastle,Available,100.0,100.0
Miguel Almirón Rejala,Newcastle,Available,100.0,100.0
Harvey Barnes,Newcastle,Available,100.0,100.0
Sven Botman,Newcastle,Unavailable,0.0,0.0
Bruno Guimarães Rodriguez Moura,Newcastle,Available,100.0,75.0
Dan Burn,Newcastle,Available,100.0,100.0
Martin Dúbravka,Newcastle,Available,100.0,100.0
Anthony Gordon,Newcastle,Available,100.0,100.0
Lewis Hall,Newcastle,Available,100.0,100.0
Isaac Hayden,Newcastle,Available,100.0,100.0
Alexander Isak,Newcastle,Doubtful,75.0,100.0
Jacob Murphy,Newcastle,Available,100.0,100.0
Joelinton Cássio Apolinário de Lira,Newcastle,Available,100.0,100.0
Lloyd Kelly,Newcastle,Available,100.0,100.0
Emil Krafth,Newcastle,Unavailable,0.0,0.0
Garang Kuol,Newcastle,Available,100.0,100.0
Jamaal Lascelles,Newcastle,Unavailable,0.0,0.0
Jamal Lewis,Newcastle,Unavailable,0.0,0.0
Tino Livramento,Newcastle,Available,100.0,100.0
Sean Longstaff,Newcastle,Available,100.0,100.0
Lewis Miley,Newcastle,Available,100.0,100.0
Odysseas Vlachodimos,Newcastle,Available,100.0,100.0
Nick Pope,Newcastle,Available,100.0,100.0
John Ruddy,Newcastle,Available,100.0,100.0
Fabian Schär,Newcastle,Available,100.0,100.0
Matt Targett,Newcastle,Available,100.0,100.0
Sandro Tonali,Newcastle,Available,100.0,100.0
Kieran Trippier,Newcastle,Available,100.0,100.0
Joe White,Newcastle,Unavailable,0.0,0.0
Joe Willock,Newcastle,Available,100.0,75.0
