name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,next_week_points
Harry Wilson,Fulham,Brighton,2023-02-18,False,61,0.0,0.0,0.0,0.0,3,0.0,0.0,0.8,0,1,1.2,0.0,16.83,1.0
Harry Wilson,Fulham,Wolverhampton,2023-02-24,True,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.5,0,0,1.2,0.0,16.44,1.0
Harry Wilson,Fulham,Brentford,2023-03-06,False,15,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,1.2,0.0,16.38,1.0
Harry Wilson,Fulham,Arsenal,2023-03-12,True,14,0.0,0.08,0.0,0.0,1,1.0,0.0,0.5,0,0,1.4,0.02,16.3,1.0
Harry Wilson,Fulham,Bournemouth,2023-04-01,False,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,1.4,0.02,15.79,1.0
Harry Wilson,Fulham,West Ham,2023-04-08,True,5,0.0,0.0,0.0,0.03,1,0.0,1.0,2.2,0,0,1.0,0.02,15.41,7.0
Harry Wilson,Fulham,Everton,2023-04-15,False,90,1.0,0.55,0.0,0.0,7,4.0,0.0,7.5,0,1,2.2,0.13,17.9,9.0
Harry Wilson,Fulham,Leicester City,2023-04-22,True,85,1.0,0.15,0.0,0.03,9,2.0,1.0,8.6,2,1,3.8,0.16,20.06,1.0
Harry Wilson,Fulham,Aston Villa,2023-04-25,False,16,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,3.8,0.14,19.94,5.0
Harry Wilson,Fulham,Manchester City,2023-04-30,True,75,0.0,0.0,1.0,0.36,5,0.0,1.0,3.3,0,1,4.6,0.34,21.61,2.0
Harry Wilson,Fulham,Liverpool,2023-05-03,False,70,0.0,0.04,0.0,0.07,2,1.0,2.0,3.2,0,1,4.8,0.35,23.03,5.0
Harry Wilson,Fulham,Leeds United,2023-05-08,True,81,0.0,0.0,1.0,0.26,5,0.0,3.0,6.5,0,1,4.4,0.44,24.69,6.0
Harry Wilson,Fulham,Southampton,2023-05-13,False,77,0.0,0.0,1.0,0.45,6,0.0,2.0,6.6,0,1,3.8,0.61,26.14,5.0
Harry Wilson,Fulham,Crystal Palace,2023-05-20,True,79,0.0,0.1,0.0,0.0,5,1.0,0.0,2.8,0,1,4.6,0.63,27.57,2.0
Harry Wilson,Fulham,Manchester United,2023-05-28,False,65,0.0,0.05,0.0,0.0,2,1.0,0.0,0.0,0,1,4.0,0.44,28.55,3.0
