name,team,opponent_team,date,was_home,position,minutes,xG,total_points,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Luc De Fougerolles,Fulham,Wolverhampton,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Liverpool,0.06,-1.01
Luc De Fougerolles,Fulham,Liverpool,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Nottingham Forest,-2.94,1.55
Luc De Fougerolles,Fulham,Nottingham Forest,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,West Ham,3.48,0.49
Luc De Fougerolles,Fulham,West Ham,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Newcastle United,0.12,-0.41
Luc De Fougerolles,Fulham,Newcastle United,2023-12-16,False,DEF,0,0.81,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Burnley,,0.39
Luc De Fougerolles,Fulham,Burnley,2023-12-23,True,DEF,0,0.42,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Bournemouth,3.26,0.19
Luc De Fougerolles,Fulham,Bournemouth,2023-12-26,False,DEF,0,0.97,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Arsenal,3.29,-0.11
Luc De Fougerolles,Fulham,Arsenal,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Chelsea,-0.32,-0.85
Luc De Fougerolles,Fulham,Chelsea,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Everton,1.34,0.53
Luc De Fougerolles,Fulham,Everton,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Burnley,,0.0
Luc De Fougerolles,Fulham,Burnley,2024-02-03,False,DEF,0,1.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Bournemouth,1.23,1.22
Luc De Fougerolles,Fulham,Bournemouth,2024-02-10,True,DEF,0,1.11,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Aston Villa,-3.96,0.64
Luc De Fougerolles,Fulham,Aston Villa,2024-02-17,True,DEF,0,0.34,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Manchester United,,-0.63
Luc De Fougerolles,Fulham,Manchester United,2024-02-24,False,DEF,0,0.08,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Brighton,-0.52,-0.66
Luc De Fougerolles,Fulham,Brighton,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Wolverhampton,-0.42,-0.52
Luc De Fougerolles,Fulham,Wolverhampton,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Tottenham,,0.69
Luc De Fougerolles,Fulham,Tottenham,2024-03-16,True,DEF,0,2.7,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Sheffield,,-0.61
Luc De Fougerolles,Fulham,Sheffield,2024-03-30,False,DEF,0,2.1,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Nottingham Forest,-0.51,-0.55
Luc De Fougerolles,Fulham,Nottingham Forest,2024-04-02,False,DEF,0,1.13,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Newcastle United,3.93,0.55
Luc De Fougerolles,Fulham,Newcastle United,2024-04-06,True,DEF,0,0.35,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,West Ham,5.62,-0.22
Luc De Fougerolles,Fulham,West Ham,,False,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Liverpool,-0.55,0.18
Luc De Fougerolles,Fulham,Liverpool,,True,DEF,0,,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Crystal Palace,,0.88
Luc De Fougerolles,Fulham,Crystal Palace,2024-04-27,True,DEF,0,1.9,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Brentford,,-0.53
Luc De Fougerolles,Fulham,Brentford,2024-05-04,False,DEF,0,1.29,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,True,Manchester City,,-0.96
Luc De Fougerolles,Fulham,Manchester City,2024-05-11,True,DEF,0,0.95,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,Fulham,False,Luton,,
Luc De Fougerolles,Fulham,Luton,2024-05-19,False,DEF,0,1.08,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,,Man City,False,Chelsea,-0.75,-0.85
