name,team,form,selected,price,week1,week2,week3,position
Kieran Trippier,Newcastle,1.6,371210.0,5.6,0.0,0.0,0.0,DEF
Kim Ji-soo,Brentford,0.0,39367.0,3.9,0.0,0.0,0.0,DEF
Konstantinos Mavropanos,West Ham,0.4,18747.0,4.5,1.93,1.99,1.91,DEF
Konstantinos Tsimikas,Liverpool,2.0,29686.0,4.6,2.59,2.56,2.79,DEF
Kortney Hause,Aston Villa,0.0,61655.0,4.0,0.0,0.0,0.0,DEF
Kosta Nedeljković,Aston Villa,0.0,119725.0,4.0,0.0,0.0,0.0,DEF
Kristoffer Ajer,Brentford,0.0,29870.0,4.4,0.0,0.0,0.0,DEF
Kurt Zouma,West Ham,0.0,18445.0,4.4,0.0,0.0,0.0,DEF
Kyle Walker,Man City,0.4,379332.0,5.2,2.32,2.38,2.36,DEF
Kyle Walker-Peters,Southampton,3.0,41029.0,4.4,2.59,2.69,2.62,DEF
Lamare Bogarde,Aston Villa,0.0,35655.0,4.0,0.0,0.0,0.0,DEF
Leif Davis,Ipswich,2.8,240854.0,4.5,3.39,3.26,3.43,DEF
Leny Yoro,Man Utd,0.0,9455.0,4.3,0.0,0.0,0.0,DEF
Levi Colwill,Chelsea,1.4,312021.0,4.5,2.62,2.73,2.77,DEF
Lewis Dunk,Brighton,1.4,484984.0,4.4,2.2,2.24,2.17,DEF
Lewis Hall,Newcastle,4.0,350830.0,4.4,3.74,3.6,3.56,DEF
Lino da Cruz Sousa,Aston Villa,0.0,7773.0,4.0,0.0,0.0,0.0,DEF
Lisandro Martínez,Man Utd,1.6,469367.0,4.4,2.18,2.15,2.16,DEF
Lloyd Kelly,Newcastle,0.4,13492.0,4.3,0.0,0.0,0.0,DEF
Lucas Digne,Aston Villa,4.2,970076.0,4.7,3.9,3.78,3.75,DEF
Luke Shaw,Man Utd,0.0,19282.0,4.9,0.0,0.0,0.0,DEF
Luke Thomas,Leicester,0.0,121306.0,3.9,0.0,0.0,0.0,DEF
Luke Woolfenden,Ipswich,0.4,184276.0,4.0,0.0,0.0,0.0,DEF
Mads Roerslev Rasmussen,Brentford,1.2,9944.0,4.4,2.66,2.67,2.55,DEF
Malang Sarr,Chelsea,0.0,285.0,4.5,0.0,0.0,0.0,DEF
Maldini Kacurri,Arsenal,0.0,6285.0,4.0,0.0,0.0,0.0,DEF
Malo Gusto,Chelsea,1.4,165871.0,4.9,2.75,2.82,2.79,DEF
Manuel Akanji,Man City,1.8,469888.0,5.5,2.61,2.57,2.51,DEF
Marc Cucurella Saseta,Chelsea,0.8,432210.0,5.0,2.89,2.76,2.59,DEF
Marc Guéhi,Crystal Palace,3.6,796983.0,4.5,3.21,3.27,3.26,DEF
Marcos Senesi,Bournemouth,2.8,77454.0,4.8,3.03,3.13,3.26,DEF
Mason Holgate,Everton,0.0,24284.0,4.0,0.0,0.0,0.0,DEF
Mathias Jorgensen,Brentford,0.0,1442.0,4.5,0.0,0.0,0.0,DEF
Matt Doherty,Wolves,0.0,16738.0,4.3,0.0,0.0,0.0,DEF
Matt Targett,Newcastle,0.0,37361.0,4.0,0.0,0.0,0.0,DEF
Matthijs de Ligt,Man Utd,2.0,513818.0,5.0,3.06,3.17,2.83,DEF
Matty Cash,Aston Villa,2.0,120334.0,4.4,0.0,0.0,2.79,DEF
Max Aarons,Bournemouth,0.0,18812.0,4.3,0.0,0.0,0.0,DEF
Max Kilman,West Ham,2.2,227181.0,4.5,3.05,3.05,3.16,DEF
Maxence Lacroix,Crystal Palace,2.0,16350.0,4.5,2.7,2.94,2.65,DEF
Michael Keane,Everton,4.6,1216358.0,4.3,3.01,3.1,3.02,DEF
Micky van de Ven,Spurs,0.6,690832.0,4.6,0.0,0.0,0.0,DEF
Milos Kerkez,Bournemouth,4.4,136227.0,4.4,3.41,3.57,3.79,DEF
Miodrag Pivaš,Newcastle,0.0,8287.0,4.0,0.0,0.0,0.0,DEF
Murillo Santiago Costa dos Santos,Nott'm Forest,5.0,165181.0,4.5,3.35,3.3,2.63,DEF
Nathan Aké,Man City,0.2,107698.0,5.3,0.0,0.0,0.0,DEF
Nathan Collins,Brentford,2.8,255579.0,4.5,2.54,2.45,2.63,DEF
Nathan Patterson,Everton,0.0,1613.0,4.4,0.0,0.0,0.0,DEF
Nathan Wood-Gordon,Southampton,0.0,153157.0,4.0,0.0,0.0,0.0,DEF
Nathaniel Clyne,Crystal Palace,1.8,11385.0,4.4,2.09,2.23,2.12,DEF
Nathaniel Phillips,Liverpool,0.0,8898.0,4.0,0.0,0.0,0.0,DEF
Nayef Aguerd,West Ham,0.0,5238.0,4.4,0.0,0.0,0.0,DEF
Neco Williams,Nott'm Forest,0.4,43171.0,4.3,0.0,0.0,0.0,DEF
Nikola Milenković,Nott'm Forest,3.8,119976.0,4.5,2.78,2.87,2.04,DEF
Noussair Mazraoui,Man Utd,2.0,1385214.0,4.6,2.89,2.97,2.76,DEF
Nélson Cabral Semedo,Wolves,2.6,27276.0,4.5,2.65,2.48,2.57,DEF
Odeluga Offiah,Brighton,0.0,7908.0,4.0,0.0,0.0,0.0,DEF
Ola Aina,Nott'm Forest,5.2,1245732.0,4.8,2.97,2.87,2.11,DEF
Oleksandr Zinchenko,Arsenal,0.2,109869.0,4.8,0.0,0.0,0.0,DEF
Ollie Scarles,West Ham,0.0,0.0,4.0,0.0,0.0,0.0,DEF
Omar Richards,Nott'm Forest,0.0,2186.0,4.5,0.0,0.0,0.0,DEF
Pau Torres,Aston Villa,2.2,183018.0,4.5,2.76,2.82,3.17,DEF
Pedro Cardoso de Lima,Wolves,0.0,160870.0,4.0,0.0,0.0,0.0,DEF
Pedro Porro,Spurs,2.4,3110514.0,5.5,3.74,3.5,3.37,DEF
Pervis Estupiñán,Brighton,1.0,58087.0,5.0,3.03,3.04,2.85,DEF
Radu Drăgușin,Spurs,0.2,17054.0,4.3,0.0,0.0,0.0,DEF
Rayan Aït-Nouri,Wolves,5.0,518504.0,4.7,2.99,2.98,3.01,DEF
Reece James,Chelsea,1.0,63547.0,4.9,0.0,0.0,0.0,DEF
Rhys Williams,Liverpool,0.0,6820.0,4.0,0.0,0.0,0.0,DEF
Ricardo Barbosa Pereira,Leicester,0.4,12716.0,4.2,0.0,0.0,0.0,DEF
Riccardo Calafiori,Arsenal,0.6,151207.0,5.8,0.0,0.0,0.0,DEF
Rico Henry,Brentford,0.0,3431.0,4.3,0.0,0.0,0.0,DEF
Rico Lewis,Man City,2.6,1637562.0,4.9,2.97,2.88,2.87,DEF
Rob Holding,Crystal Palace,0.0,8510.0,4.3,0.0,0.0,0.0,DEF
Roman Dixon,Everton,0.0,7867.0,4.0,0.0,0.0,0.0,DEF
Ronnie Edwards,Southampton,0.0,34199.0,3.9,0.0,0.0,0.0,DEF
Ryan Manning,Southampton,1.6,6627.0,4.3,2.67,2.72,2.6,DEF
Ryan Sessegnon,Fulham,0.0,13039.0,4.2,0.0,0.0,0.0,DEF
Rúben Gato Alves Dias,Man City,2.0,340797.0,5.4,0.0,0.0,0.0,DEF
Santiago Bueno,Wolves,0.6,7531.0,4.3,1.83,1.63,1.54,DEF
Sepp van den Berg,Brentford,1.0,345765.0,4.1,2.47,2.39,2.27,DEF
Sergio Reguilón,Spurs,0.0,19164.0,4.2,0.0,0.0,0.0,DEF
Sil Swinkels,Aston Villa,0.0,7561.0,4.0,0.0,0.0,0.0,DEF
Sugawara Yukinari,Southampton,2.2,25802.0,4.5,2.35,2.69,2.34,DEF
Sven Botman,Newcastle,0.0,1396.0,4.4,0.0,0.0,0.0,DEF
Séamus Coleman,Everton,0.0,3600.0,4.3,0.0,0.0,0.0,DEF
Tariq Lamptey,Brighton,0.6,18807.0,4.4,0.0,0.0,0.0,DEF
Taylor Harwood-Bellis,Southampton,1.8,1095746.0,4.1,2.44,2.39,2.38,DEF
Tim Ream,Fulham,0.0,641.0,4.5,0.0,0.0,0.0,DEF
Timothy Castagne,Fulham,0.4,80417.0,4.2,0.0,0.0,0.0,DEF
Tino Livramento,Newcastle,2.6,215940.0,4.5,2.91,2.74,2.7,DEF
Tomiyasu Takehiro,Arsenal,0.2,4021.0,4.8,0.0,0.0,0.0,DEF
Tosin Adarabioyo,Chelsea,0.0,17531.0,4.3,0.0,0.0,0.0,DEF
Toti António Gomes,Wolves,0.2,16750.0,4.3,2.81,2.73,2.95,DEF
Trent Alexander-Arnold,Liverpool,2.8,3117809.0,7.0,1.71,1.71,1.62,DEF
Trevoh Chalobah,Crystal Palace,4.0,46256.0,4.4,2.82,2.86,2.79,DEF
Tyrell Malacia,Man Utd,0.0,889.0,4.4,0.0,0.0,0.0,DEF
Tyrick Mitchell,Crystal Palace,2.2,178016.0,4.9,3.03,3.02,2.99,DEF
Tyrone Mings,Aston Villa,0.0,6903.0,4.4,0.0,0.0,0.0,DEF
Valentín Barco,Brighton,0.0,431899.0,4.0,0.0,0.0,0.0,DEF
Victor Kristiansen,Leicester,1.4,12329.0,4.5,2.5,2.5,2.57,DEF
Victor Lindelöf,Man Utd,0.6,9192.0,4.3,0.0,0.0,0.0,DEF
Virgil van Dijk,Liverpool,5.6,1965313.0,6.3,3.25,3.07,3.22,DEF
Vitalii Mykolenko,Everton,3.4,444428.0,4.3,2.78,2.68,2.69,DEF
Vladimír Coufal,West Ham,0.0,56010.0,4.3,0.0,0.0,0.0,DEF
Wesley Fofana,Chelsea,1.2,51058.0,4.5,2.55,2.55,2.42,DEF
William Saliba,Arsenal,0.6,2368808.0,6.0,3.14,3.22,3.22,DEF
Willy Boly,Nott'm Forest,0.0,14112.0,4.3,0.0,0.0,0.0,DEF
Wout Faes,Leicester,2.2,1332574.0,4.2,2.54,2.55,2.61,DEF
Yerson Mosquera,Wolves,0.0,68830.0,3.9,0.0,0.0,0.0,DEF
Álex Moreno Lopera,Nott'm Forest,3.8,82630.0,4.4,3.16,3.24,2.24,DEF
Abdoulaye Doucouré,Everton,2.2,21138.0,5.1,2.95,2.85,2.86,MID
Abdul Fatawu,Leicester,2.2,36442.0,5.3,0.0,0.0,0.0,MID
Adam Lallana,Southampton,0.4,3482.0,5.0,1.88,1.87,1.83,MID
Adam Wharton,Crystal Palace,0.8,24123.0,4.7,0.0,0.0,0.0,MID
Adama Traoré,Fulham,2.4,376330.0,5.0,3.92,3.93,3.95,MID
Adrian Mazilu,Brighton,0.0,1654.0,4.5,0.0,0.0,0.0,MID
Alejandro Garnacho,Man Utd,3.8,925785.0,6.4,3.96,4.65,4.2,MID
Alex Iwobi,Fulham,4.4,224107.0,5.6,4.1,4.13,4.13,MID
Alex Mighten,Nott'm Forest,0.0,1925.0,4.5,0.0,0.0,0.0,MID
Alex Scott,Bournemouth,0.8,3842.0,4.8,0.0,0.0,0.0,MID
Alexis Mac Allister,Liverpool,1.0,157967.0,6.2,2.18,2.21,2.16,MID
Alfie Devine,Spurs,0.0,7306.0,4.5,0.0,0.0,0.0,MID
Amad Diallo,Man Utd,1.0,321155.0,4.9,2.34,2.29,2.6,MID
Amadou Onana,Aston Villa,1.2,562996.0,4.9,1.39,1.2,1.31,MID
Amario Cozier-Duberry,Brighton,0.0,3953.0,4.5,0.0,0.0,0.0,MID
Andreas Hoelgebaum Pereira,Fulham,3.2,169603.0,5.2,4.21,4.11,4.08,MID
Andrew Moran,Brighton,0.0,318.0,5.0,0.0,0.0,0.0,MID
Andrey Nascimento dos Santos,Chelsea,0.0,352.0,4.5,0.0,0.0,0.0,MID
André Trindade da Costa Neto,Wolves,0.6,2273.0,5.0,1.92,2.26,2.02,MID
Andy Irving,West Ham,0.2,2633.0,4.8,0.0,0.0,0.0,MID
Anthony Elanga,Nott'm Forest,2.8,88560.0,5.2,2.32,2.33,2.43,MID
Anthony Gordon,Newcastle,2.2,953853.0,7.2,4.7,4.75,4.86,MID
