name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
James Tomkins,Crystal Palace,Burnley,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.48,0.0,0.0,0.09,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Everton,,0.53
James Tomkins,Crystal Palace,Everton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.46,0.0,0.0,0.08,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Luton,,
James Tomkins,Crystal Palace,Luton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.45,0.0,0.0,0.08,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,West Ham,,-0.22
James Tomkins,Crystal Palace,West Ham,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.44,0.0,0.0,0.07,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Bournemouth,,1.22
James Tomkins,Crystal Palace,Bournemouth,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.44,0.0,0.0,0.07,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Liverpool,,0.18
James Tomkins,Crystal Palace,Liverpool,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.44,0.0,0.0,0.06,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Manchester City,,-1.32
James Tomkins,Crystal Palace,Manchester City,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.44,0.0,0.0,0.06,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Brighton,,-0.66
James Tomkins,Crystal Palace,Brighton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.43,0.0,0.0,0.06,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Chelsea,,-0.85
James Tomkins,Crystal Palace,Chelsea,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.43,0.0,0.0,0.05,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Brentford,,0.79
James Tomkins,Crystal Palace,Brentford,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.43,0.0,0.0,0.05,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Arsenal,,-0.48
James Tomkins,Crystal Palace,Arsenal,2024-01-20,False,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.2,0,0,2,0.78,0,0.41,0.0,0.0,0.19,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Sheffield,,0.68
James Tomkins,Crystal Palace,Sheffield,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.41,0.0,0.0,0.18,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Brighton,,-0.6
James Tomkins,Crystal Palace,Brighton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.41,0.0,0.0,0.17,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Chelsea,,-0.25
James Tomkins,Crystal Palace,Chelsea,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.41,0.0,0.0,0.17,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Everton,,-0.24
James Tomkins,Crystal Palace,Everton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.0,0.0,0.16,0.0,0.73,0.0,0.0,9.59,1.0,Crystal Palace,True,Burnley,,0.39
James Tomkins,Crystal Palace,Burnley,2024-02-24,True,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0.0,0,0.4,0.2,0.0,0.19,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Tottenham,,-0.36
James Tomkins,Crystal Palace,Tottenham,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.2,0.0,0.19,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Luton,,
James Tomkins,Crystal Palace,Luton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.2,0.0,0.18,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Nottingham Forest,,-0.55
James Tomkins,Crystal Palace,Nottingham Forest,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.2,0.0,0.17,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Bournemouth,,0.19
James Tomkins,Crystal Palace,Bournemouth,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.2,0.0,0.17,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Manchester City,,-0.96
James Tomkins,Crystal Palace,Manchester City,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.0,0.0,0.16,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Liverpool,,-1.01
James Tomkins,Crystal Palace,Liverpool,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.0,0.0,0.16,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,West Ham,,0.49
James Tomkins,Crystal Palace,West Ham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.0,0.0,0.15,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Newcastle United,,0.55
James Tomkins,Crystal Palace,Newcastle United,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.0,0.0,0.15,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Fulham,,0.86
James Tomkins,Crystal Palace,Fulham,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.39,0.0,0.0,0.14,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Manchester United,,0.38
James Tomkins,Crystal Palace,Manchester United,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.39,0.0,0.0,0.14,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Wolverhampton,,-0.52
James Tomkins,Crystal Palace,Wolverhampton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.39,0.0,0.0,0.14,0.0,0.73,0.0,0.0,9.59,1.0,Crystal Palace,True,Aston Villa,,0.64
James Tomkins,Crystal Palace,Aston Villa,2024-05-19,True,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,0,0.0,0,0.39,0.2,0.0,0.21,0.0,0.73,0.0,0.0,9.59,,Brentford,True,Crystal Palace,,0.88
