name,team,opponent_team,date,was_home,minutes,xG,total_points,ict_index,bonus,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Hélder Wander Sousa de Azevedo e Costa,Leeds,Newcastle United,2022-01-22,True,0,1.13,0,0.0,0,0.0,0,1.0,0.0,Leeds,False,Aston Villa,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Aston Villa,2022-02-09,False,0,2.53,0,0.0,0,0.0,0,0.95,0.0,Leeds,False,Everton,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Everton,2022-02-12,False,0,0.24,0,0.0,0,0.0,0,0.91,0.0,Leeds,True,Manchester United,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Manchester United,2022-02-20,True,0,1.74,0,0.0,0,0.0,0,0.88,0.0,Leeds,False,Liverpool,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Liverpool,2022-02-23,False,0,0.14,0,0.0,0,0.0,0,0.84,0.0,Leeds,True,Tottenham,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Tottenham,2022-02-26,True,0,1.9,0,0.0,0,0.0,0,0.81,0.0,Leeds,False,Leeds United,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Leeds United,2022-03-05,False,0,2.14,0,0.0,0,0.0,0,0.78,0.0,Leeds,True,Aston Villa,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Aston Villa,2022-03-10,True,0,0.19,0,0.0,0,0.0,0,0.75,0.0,Leeds,True,Norwich,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Norwich,2022-03-13,True,0,3.12,0,0.0,0,0.0,0,0.72,0.0,Leeds,False,Wolverhampton,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Wolverhampton,2022-03-18,False,0,2.82,0,0.0,0,0.0,0,0.7,0.0,Leeds,True,Southampton,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Southampton,2022-04-02,True,0,1.51,0,0.0,0,0.0,0,0.68,0.0,Leeds,False,Watford,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Watford,2022-04-09,False,0,0.9,0,0.0,0,0.0,0,0.66,0.0,Leeds,False,Crystal Palace,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Crystal Palace,2022-04-25,False,0,0.37,0,0.0,0,0.0,0,0.64,0.0,Leeds,True,Manchester City,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Manchester City,2022-04-30,True,0,1.04,0,0.0,0,0.0,0,0.62,0.0,Leeds,False,Arsenal,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Arsenal,2022-05-08,False,0,0.7,0,0.0,0,0.0,0,0.6,0.0,Leeds,True,Chelsea,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Chelsea,2022-05-11,True,0,0.5,0,0.0,0,0.0,0,0.58,0.0,Leeds,True,Brighton,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Brighton,2022-05-15,True,0,2.22,0,0.0,0,0.0,0,0.57,0.0,Leeds,False,Brentford,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Brentford,2022-05-22,False,0,1.48,0,0.0,0,0.0,0,0.55,,Everton,True,Chelsea,,
