First Name,Second Name,Availability,Chance of Playing (Next Round),Chance of Playing (This Round)
Ashley,Young,Unavailable,100,100
Jesper,Lindstrøm,Available,100%,100%
Jake,O'Brien,Available,100%,100%
Harrison,Armstrong,Available,100%,100%
Jenson,Metcalfe,Unavailable,0,0
Asmir,Begovic,Available,100%,100%
Roman,Dixon,Available,100%,100%
Orel,Mangala,Available,100%,100%
Reiss,Nelson,Available,100%,100%
Emile,Smith Rowe,Available,100%,100%
Joachim,Andersen,Unavailable,100,100
Adama,Traoré,Available,100%,100%
Andreas,Hoelgebaum Pereira,Unavailable,100,100
Calvin,Bassey,Available,100%,100%
Steven,Benda,Available,100%,100%
Tom,Cairney,Available,100%,100%
Timothy,Castagne,Unavailable,100,100
Issa,Diop,Available,100%,100%
Luke,Harris,Unavailable,0,0
Alex,Iwobi,Available,100%,100%
Bernd,Leno,Available,100%,100%
Saša,Lukić,Unavailable,0,0
Kevin,Mbabu,Unavailable,0,0
Rodrigo,Muniz Carvalho,Available,100%,100%
Raúl,Jiménez,Available,100%,100%
Tim,Ream,Unavailable,0,0
Harrison,Reed,Available,100%,100%
Antonee,Robinson,Available,100%,100%
Jay,Stansfield,Unavailable,0,0
Kenny,Tete,Available,100%,100%
Carlos Vinícius,Alves Morais,Unavailable,100,100
Harry,Wilson,Available,100%,100%
Ryan,Sessegnon,Available,100%,100%
Jorge,Cuenca Barreno,Unavailable,100,100
Josh,King,Available,100%,100%
Martial,Godo,Available,100%,100%
Sander,Berge,Available,100%,100%
Ali,Al-Hamadi,Unavailable,100,100
Elkan,Baggott,Unavailable,0,0
Nathan,Broadhead,Unavailable,100,100
Cameron,Burgess,Available,100%,100%
Wes,Burns,Unavailable,100,100
Conor,Chaplin,Available,100%,100%
Harry,Clarke,Unavailable,100,0
Leif,Davis,Available,100%,100%
Liam,Delap,Available,100%,100%
George,Edmundson,Unavailable,0,0
Jacob,Greaves,Unavailable,0,0
Marcus,Myers-Harness,Unavailable,0,0
George,Hirst,Unavailable,100,100
Cameron,Humphreys,Unavailable,0,0
Omari,Giraud-Hutchinson,Unavailable,100,100
Ben,Johnson,Unavailable,100,75
Freddie,Ladapo,Unavailable,0,0
Massimo,Luongo,Unavailable,100,75
Sam,Morsy,Unavailable,100,75
Corrie,Ndaba,Unavailable,0,0
Cieran,Slicker,Available,100%,100%
Jack,Taylor,Unavailable,0,0
Axel,Tuanzebe,Unavailable,0,0
Christian,Walton,Available,100%,100%
Luke,Woolfenden,Available,100%,100%
Kalvin,Phillips,Unavailable,0,100
Arijanet,Muric,Unavailable,100,100
Conor,Townsend,Available,100%,100%
Sam,Szmodics,Available,100%,100%
Jens,Cajuste,Unavailable,100,100
Dara,O'Shea,Unavailable,100,100
Jack,Clarke,Available,100%,100%
Chiedozie,Ogbene,Unavailable,0,0
Facundo,Buonanotte,Available,100%,100%
Jordan,Ayew,Available,100%,100%
Odsonne,Edouard,Unavailable,100,100
Boubakary,Soumaré,Available,100%,100%
Tom,Cannon,Unavailable,0,0
Hamza,Choudhury,Unavailable,75,75
Conor,Coady,Unavailable,100,100
Patson,Daka,Unavailable,75,75
Bobby,De Cordova-Reid,Available,100%,100%
Wout,Faes,Available,100%,100%
Michael,Golding,Available,100%,100%
Mads,Hermansen,Available,100%,100%
Daniel,Iversen,Available,100%,100%
James,Justin,Available,100%,100%
Victor,Kristiansen,Unavailable,100,75
Wanya,Marçal-Madivádua,Unavailable,0,0
Stephy,Mavididi,Available,100%,100%
Kasey,McAteer,Available,100%,100%
Wilfred,Ndidi,Available,100%,100%
Caleb,Okoli,Available,100%,100%
Ricardo,Barbosa Pereira,Available,100%,100%
Harry,Souttar,Unavailable,0,0
Jakub,Stolarczyk,Unavailable,0,0
Luke,Thomas,Available,100%,100%
Jamie,Vardy,Unavailable,100,100
Jannik,Vestergaard,Unavailable,100,100
Danny,Ward,Available,100%,100%
Harry,Winks,Available,100%,100%
Oliver,Skipp,Available,100%,100%
Abdul,Fatawu,Unavailable,100,75
Will,Alves,Available,100%,100%
Ben,Nelson,Unavailable,0,0
Bilal,El Khannouss,Available,100%,100%
Alisson,Ramses Becker,Unavailable,0,0
Trent,Alexander-Arnold,Available,100%,100%
Stefan,Bajčetić Maquieira,Unavailable,0,0
Conor,Bradley,Unavailable,100,100
Bobby,Clark,Unavailable,0,0
Darwin,Núñez Ribeiro,Available,100%,100%
Diogo,Teixeira da Silva,Unavailable,0,0
Ben,Doak,Unavailable,0,0
Harvey,Elliott,Unavailable,0,0
Endo,Wataru,Available,100%,100%
Cody,Gakpo,Available,100%,100%
Joe,Gomez,Available,100%,100%
Ryan,Gravenberch,Available,100%,100%
Curtis,Jones,Unavailable,100,100
Caoimhin,Kelleher,Available,100%,100%
Ibrahima,Konaté,Unavailable,100,100%
Luis,Díaz,Available,100%,100%
Mohamed,Salah,Available,100%,100%
Alexis,Mac Allister,Unavailable,100,100
James,McConnell,Unavailable,100,100
Tyler,Morton,Unavailable,100,100
Nathaniel,Phillips,Unavailable,0,0
Jarell,Quansah,Unavailable,100,100
Rhys,Williams,Unavailable,0,0
Andrew,Robertson,Available,100%,100%
Dominik,Szoboszlai,Available,100%,100%
Konstantinos,Tsimikas,Unavailable,100,100
Virgil,van Dijk,Available,100%,100%
Federico,Chiesa,Unavailable,0,0
Vítezslav,Jaros,Available,100%,100%
Harvey,Davies,Available,100%,100%
Manuel,Akanji,Unavailable,100,75
Nathan,Aké,Unavailable,100,100
Bernardo,Veiga de Carvalho e Silva,Available,100%,100%
Oscar,Bobb,Unavailable,0,0
Scott,Carson,Available,100%,100%
Kevin,De Bruyne,Unavailable,100,0
Jérémy,Doku,Unavailable,100,0
Ederson,Santana de Moraes,Available,100%,100%
Phil,Foden,Unavailable,100,100
Jack,Grealish,Unavailable,0,0
Joško,Gvardiol,Unavailable,100,75
Erling,Haaland,Unavailable,100,100
Julián,Álvarez,Unavailable,0,0
João,Cavaco Cancelo,Unavailable,0,0
Mateo,Kovačić,Unavailable,100,100
Rico,Lewis,Available,100%,100%
Matheus Luiz,Nunes,Available,100%,100%
James,McAtee,Available,100%,100%
Stefan,Ortega Moreno,Available,100%,100%
Rodrigo 'Rodri',Hernandez,Unavailable,0,0
Rúben,Gato Alves Dias,Unavailable,0,75
John,Stones,Unavailable,50,100%
Kyle,Walker,Unavailable,100,0
Sávio 'Savinho',Moreira de Oliveira,Unavailable,100,75
Nico,O'Reilly,Unavailable,100,100
Ilkay,Gündogan,Available,100%,100%
Issa,Kaboré,Unavailable,0,0
Jacob,Wright,Available,100%,100%
Jahmai,Simpson-Pusey,Available,100%,100%
Amad,Diallo,Available,100%,100%
Antony Matheus,dos Santos,Unavailable,25,25
Bruno,Borges Fernandes,Unavailable,100,100
Altay,Bayindir,Available,100%,100%
Carlos Henrique,Casimiro,Unavailable,100,100
Diogo,Dalot Teixeira,Available,100%,100%
Christian,Eriksen,Unavailable,75,75
Jonny,Evans,Unavailable,100,100
Alejandro,Garnacho,Unavailable,100,100
Hannibal,Mejbri,Unavailable,0,0
Tom,Heaton,Available,100%,100%
Rasmus,Højlund,Unavailable,100,100
Victor,Lindelöf,Unavailable,100,100
Harry,Maguire,Unavailable,25,25
Kobbie,Mainoo,Unavailable,25,25
Tyrell,Malacia,Unavailable,25,25
Lisandro,Martínez,Unavailable,100,100
Scott,McTominay,Unavailable,0,0
Mason,Mount,Unavailable,25,25
André,Onana,Available,100%,100%
Facundo,Pellistri Rebollo,Unavailable,0,0
Marcus,Rashford,Available,100%,100%
Luke,Shaw,Unavailable,0,0
Joshua,Zirkzee,Available,100%,100%
Leny,Yoro,Unavailable,25,25
Matthijs,de Ligt,Available,100%,100%
Noussair,Mazraoui,Unavailable,100,100
Toby,Collyer,Available,100%,100%
Ethan,Wheatley,Available,100%,100%
Manuel,Ugarte,Unavailable,100,100
Jack,Fletcher,Available,100%,100%
Harry,Amass,Available,100%,100%
Jayce,Fitzgerald,Available,100%,100%
Alex,Murphy,Available,100%,100%
Miguel,Almirón Rejala,Available,100%,100%
Harvey,Barnes,Available,100%,100%
Sven,Botman,Unavailable,0,0
Bruno,Guimarães Rodriguez Moura,Available,100%,100%
Dan,Burn,Available,100%,100%
Martin,Dúbravka,Unavailable,100,100
Anthony,Gordon,Unavailable,100,100
Lewis,Hall,Available,100%,100%
Isaac,Hayden,Available,100%,100%
Alexander,Isak,Unavailable,100,100
Jacob,Murphy,Unavailable,75,75
Joelinton Cássio,Apolinário de Lira,Available,100%,100%
Lloyd,Kelly,Available,100%,100%
Emil,Krafth,Unavailable,100,100
Garang,Kuol,Available,100%,100%
Jamaal,Lascelles,Unavailable,0,0
Jamal,Lewis,Unavailable,0,0
Tino,Livramento,Available,100%,100%
Sean,Longstaff,Available,100%,100%
Lewis,Miley,Unavailable,100,100
Odysseas,Vlachodimos,Available,100%,100%
Nick,Pope,Unavailable,100,100
John,Ruddy,Available,100%,100%
Fabian,Schär,Unavailable,100,100
Matt,Targett,Unavailable,25,25
Sandro,Tonali,Unavailable,100,100
Kieran,Trippier,Unavailable,0,0
Joe,White,Unavailable,0,0
Joe,Willock,Unavailable,100,100
Callum,Wilson,Unavailable,0,0
Miodrag,Pivaš,Unavailable,0,0
William,Osula,Available,100%,100%
Álex,Moreno Lopera,Available,100%,100%
Ola,Aina,Unavailable,100,100
Elliot,Anderson,Unavailable,100,75
Taiwo,Awoniyi,Available,100%,100%
Willy,Boly,Unavailable,100,100
Josh,Bowler,Unavailable,0,0
Carlos Miguel,dos Santos Pereira,Available,100%,100%
Eric,da Silva Moreira,Available,100%,100%
Danilo,dos Santos de Oliveira,Unavailable,0,0
Emmanuel,Dennis,Available,100%,100%
Nicolás,Domínguez,Available,100%,100%
Anthony,Elanga,Unavailable,100,100
Morgan,Gibbs-White,Unavailable,100,50
Callum,Hudson-Odoi,Unavailable,100,100
Alex,Mighten,Unavailable,0,0
Murillo,Santiago Costa dos Santos,Available,100%,100%
Neco,Williams,Available,100%,100%
Omar,Richards,Unavailable,0,0
Lewis,O'Brien,Unavailable,0,0
Andrew,Omobamidele,Available,100%,100%
Jonathan,Panzo,Unavailable,0,0
Ibrahim,Sangaré,Unavailable,0,0
Matz,Sels,Unavailable,100,100
Harry,Toffolo,Available,100%,100%
Hwang,Ui-jo,Unavailable,0,0
Chris,Wood,Unavailable,100,75
Joe,Worrall,Unavailable,0,0
Ryan,Yates,Unavailable,100,100
James,Ward-Prowse,Unavailable,100,0
Nikola,Milenković,Available,100%,100%
João Pedro,Ferreira Silva,Unavailable,100,75
Ramón,Sosa,Available,100%,100%
Felipe,Rodrigues da Silva,Available,100%,100%
Aaron,Ramsdale,Available,100%,100%
Cameron,Archer,Available,100%,100%
Lesley,Ugochukwu,Available,100%,100%
Ryan,Fraser,Unavailable,75,75
Carlos,Alcaraz Durán,Unavailable,0,0
Samuel,Amo-Ameyaw,Available,100%,100%
Joe,Aribo,Available,100%,100%
Adam,Armstrong,Available,100%,100%
Gavin,Bazunu,Unavailable,0,0
Jan,Bednarek,Available,100%,100%
Armel,Bella-Kotchap,Available,100%,100%
James,Bree,Available,100%,100%
Shea,Charles,Unavailable,0,0
Samuel,Edozie,Unavailable,0,0
Ronnie,Edwards,Available,100%,100%
Taylor,Harwood-Bellis,Available,100%,100%
Kamaldeen,Sulemana,Unavailable,100,100
Adam,Lallana,Unavailable,100,100
Juan,Larios López,Unavailable,100,100
Mateusz,Lis,Unavailable,0,0
Joe,Lumley,Available,100%,100%
Ryan,Manning,Available,100%,100%
Sékou,Mara,Unavailable,0,0
Alex,McCarthy,Available,100%,100%
Paul,Onuachu,Available,100%,100%
Will,Smallbone,Unavailable,0,0
Jack,Stephens,Unavailable,100,100
Ross,Stewart,Unavailable,0,0
Sugawara,Yukinari,Unavailable,100,100
Charlie,Taylor,Available,100%,100%
Kyle,Walker-Peters,Available,100%,100%
Nathan,Wood-Gordon,Available,100%,100%
Maxwel,Cornet,Available,100%,100%
Flynn,Downes,Available,100%,100%
Ben,Brereton Díaz,Available,100%,100%
Tyler,Dibling,Unavailable,100,100
Mateus Gonçalo,Espanha Fernandes,Available,100%,100%
Dominic,Solanke-Mitchell,Unavailable,100,100
Ashley,Phillips,Unavailable,0,0
Brandon,Austin,Available,100%,100%
Rodrigo,Bentancur,Unavailable,100,100
Lucas,Bergvall,Unavailable,100,100
Yves,Bissouma,Unavailable,100,100
Bryan,Gil Salvatierra,Unavailable,0,0
Ben,Davies,Available,100%,100%
Alfie,Devine,Unavailable,0,0
Radu,Drăgușin,Available,100%,100%
Emerson,Leite de Souza Junior,Unavailable,0,0
Fraser,Forster,Available,100%,100%
Archie,Gray,Available,100%,100%
Pierre-Emile,Højbjerg,Unavailable,0,0
Brennan,Johnson,Available,100%,100%
Dejan,Kulusevski,Available,100%,100%
Giovani,Lo Celso,Unavailable,0,0
James,Maddison,Available,100%,100%
Pedro,Porro,Unavailable,100,100
Sergio,Reguilón,Available,100%,100%
Richarlison,de Andrade,Unavailable,75,100
Cristian,Romero,Unavailable,75,75
Pape Matar,Sarr,Available,100%,100%
Dane,Scarlett,Unavailable,0,0
Manor,Solomon,Unavailable,0,0
Son,Heung-min,Unavailable,100,75
Djed,Spence,Unavailable,75,75
Destiny,Udogie,Unavailable,100,100
Micky,van de Ven,Unavailable,0,0
Alejo,Véliz,Unavailable,0,0
Guglielmo,Vicario,Available,100%,100%
Timo,Werner,Unavailable,100,75
Alfie,Whiteman,Available,100%,100%
Will,Lankshear,Unavailable,100,100
Mikey,Moore,Unavailable,100,100
Wilson,Odobert,Unavailable,0,0
Aaron,Wan-Bissaka,Available,100%,100%
Edson,Álvarez Velázquez,Unavailable,0,100
Michail,Antonio,Available,100%,100%
Alphonse,Areola,Unavailable,100,100
Jarrod,Bowen,Available,100%,100%
Vladimír,Coufal,Available,100%,100%
Aaron,Cresswell,Unavailable,100,100
George,Earthy,Unavailable,0,0
Emerson,Palmieri dos Santos,Unavailable,100,100
Łukasz,Fabiański,Available,100%,100%
Wes,Foderingham,Available,100%,100%
Danny,Ings,Available,100%,100%
Max,Kilman,Available,100%,100%
Mohammed,Kudus,Unavailable,0,0
Luis Guilherme,Lira dos Santos,Available,100%,100%
Lucas,Tolentino Coelho de Lima,Available,100%,100%
Konstantinos,Mavropanos,Available,100%,100%
Nayef,Aguerd,Unavailable,0,0
Tomáš,Souček,Available,100%,100%
Kurt,Zouma,Unavailable,0,0
Andy,Irving,Available,100%,100%
Crysencio,Summerville,Available,100%,100%
Guido,Rodríguez,Available,100%,100%
Niclas,Füllkrug,Unavailable,0,0
Jean-Clair,Todibo,Available,100%,100%
Kaelan,Casey,Available,100%,100%
Carlos,Soler,Available,100%,100%
Sam,Johnstone,Unavailable,100,100
Rayan,Aït-Nouri,Unavailable,100,100
Boubacar,Traoré,Unavailable,0,0
Jean-Ricner,Bellegarde,Available,100%,100%
Daniel,Bentley,Available,100%,100%
Francisco Jorge,Tomás Oliveira,Unavailable,0,0
Tawanda,Chirewa,Unavailable,0,0
Leon,Chiwome,Unavailable,100,100
Luke,Cundle,Available,100%,100%
Matheus,Santos Carneiro Da Cunha,Available,100%,100%
Craig,Dawson,Available,100%,100%
Matt,Doherty,Available,100%,100%
Tommy,Doyle,Available,100%,100%
Fábio,Silva,Unavailable,0,0
Nathan,Fraser,Unavailable,0,0
Enso,González,Unavailable,0,0
Gonçalo Manuel,Ganchinho Guedes,Available,100%,100%
Hugo,Bueno López,Unavailable,0,0
Hwang,Hee-chan,Unavailable,0,0
Joe,Hodge,Unavailable,0,0
Ki-Jana,Hoever,Unavailable,0,0
João Victor,Gomes da Silva,Available,100%,100%
José,Malheiro de Sá,Available,100%,100%
Saša,Kalajdžić,Unavailable,0,0
Tom,King,Available,100%,100%
Mario,Lemina,Unavailable,75,75
Yerson,Mosquera,Unavailable,0,0
Nélson,Cabral Semedo,Unavailable,100,100
Pedro,Cardoso de Lima,Available,100%,100%
Daniel,Castelo Podence,Unavailable,0,0
Rodrigo,Martins Gomes,Available,100%,100%
Santiago,Bueno,Unavailable,100,100
Pablo,Sarabia,Available,100%,100%
Jørgen,Strand Larsen,Available,100%,100%
Toti António,Gomes,Unavailable,100,100
Bastien,Meupiyou,Unavailable,50,50
André,Trindade da Costa Neto,Available,100%,100%
Carlos Roberto,Forbs Borges,Available,100%,100%
Alfie,Pond,Available,100%,100%
