name,team,opponent_team,date,was_home,position,minutes,xG,total_points,ict_index,bonus,clean_sheets,goals_conceded,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Rúben Santos Gato Alves Dias,Man City,Manchester United,,False,DEF,90,,6,2.4,0,1,0,20.77,2.0,0,83.45,0.55,0.0,Man City,True,Everton,,
Rúben Santos Gato Alves Dias,Man City,Everton,,True,DEF,0,,0,0.0,0,0,0,20.31,2.0,0,76.5,0.55,2.0,Man City,True,West Ham,,
Rúben Santos Gato Alves Dias,Man City,West Ham,,True,DEF,90,,2,3.6,0,0,1,18.63,2.2,0,77.54,0.5,9.0,Man City,False,Aston Villa,,
Rúben Santos Gato Alves Dias,Man City,Aston Villa,2021-12-01,False,DEF,90,0.77,9,6.4,1,0,1,18.26,3.6,0,78.43,0.46,2.0,Man City,False,Watford,,
Rúben Santos Gato Alves Dias,Man City,Watford,,False,DEF,90,,2,3.6,0,0,1,18.94,3.8,0,79.2,0.43,5.0,Man City,True,Wolverhampton,,
Rúben Santos Gato Alves Dias,Man City,Wolverhampton,2021-12-11,True,DEF,90,0.14,5,1.5,0,1,0,19.17,3.6,0,79.88,0.47,5.0,Man City,True,Leicester City,,
Rúben Santos Gato Alves Dias,Man City,Leicester City,2021-12-14,True,DEF,64,1.96,5,1.1,0,1,0,21.04,4.6,0,78.94,0.5,12.0,Man City,False,Newcastle United,,
Rúben Santos Gato Alves Dias,Man City,Newcastle United,,False,DEF,69,,12,7.9,0,1,0,21.37,6.6,0,78.39,0.53,4.0,Man City,True,Leeds United,,
Rúben Santos Gato Alves Dias,Man City,Leeds United,2021-12-26,True,DEF,90,0.47,4,6.7,0,0,3,22.29,5.6,0,79.0,0.5,6.0,Man City,False,Brentford,,
Rúben Santos Gato Alves Dias,Man City,Brentford,,False,DEF,90,,6,1.9,0,1,0,22.19,6.4,0,79.55,0.53,2.0,Man City,False,Arsenal,,
Rúben Santos Gato Alves Dias,Man City,Arsenal,,False,DEF,90,,2,3.5,0,0,1,23.01,5.8,0,80.05,0.5,0.0,Man City,True,Chelsea,,
Rúben Santos Gato Alves Dias,Man City,Chelsea,2022-01-15,True,DEF,0,1.83,0,0.0,0,0,0,22.04,4.8,0,76.41,0.5,2.0,Man City,False,Southampton,,
Rúben Santos Gato Alves Dias,Man City,Southampton,2022-01-22,False,DEF,90,0.86,2,2.8,0,0,1,22.91,2.8,0,77.0,0.48,6.0,Man City,True,Brentford,,
Rúben Santos Gato Alves Dias,Man City,Brentford,2022-02-09,True,DEF,90,1.5,6,2.8,0,1,0,22.55,3.2,0,77.54,0.5,10.0,Man City,False,Norwich,,
Rúben Santos Gato Alves Dias,Man City,Norwich,,False,DEF,90,,10,6.5,2,1,0,22.42,4.0,0,78.04,0.52,1.0,Man City,True,Tottenham,,
Rúben Santos Gato Alves Dias,Man City,Tottenham,2022-02-19,True,DEF,90,1.03,1,2.2,0,0,3,21.63,3.8,0,78.5,0.5,7.0,Man City,False,Everton,,
Rúben Santos Gato Alves Dias,Man City,Everton,2022-02-26,False,DEF,90,1.3,7,2.1,1,1,0,22.99,5.2,0,78.93,0.52,0.0,Man City,True,Manchester United,,
Rúben Santos Gato Alves Dias,Man City,Manchester United,,True,DEF,0,,0,0.0,0,0,0,19.0,4.8,0,76.11,0.52,0.0,Man City,False,Crystal Palace,,
Rúben Santos Gato Alves Dias,Man City,Crystal Palace,,False,DEF,0,,0,0.0,0,0,0,15.24,3.6,0,73.48,0.52,0.0,Man City,False,Burnley,,
Rúben Santos Gato Alves Dias,Man City,Burnley,2022-04-02,False,DEF,0,1.91,0,0.0,0,0,0,13.85,1.6,0,71.03,0.52,0.0,Man City,True,Liverpool,,
Rúben Santos Gato Alves Dias,Man City,Liverpool,,True,DEF,0,,0,0.0,0,0,0,13.51,1.4,0,68.74,0.52,1.0,Man City,True,Brighton,,
Rúben Santos Gato Alves Dias,Man City,Brighton,,True,DEF,45,,1,0.8,0,0,0,13.4,0.2,0,68.0,0.5,2.0,Man City,True,Watford,,
Rúben Santos Gato Alves Dias,Man City,Watford,2022-04-23,True,DEF,90,0.59,2,5.4,0,0,1,13.69,0.6,0,68.67,0.48,12.0,Man City,False,Leicester City,,
Rúben Santos Gato Alves Dias,Man City,Leicester City,2022-04-30,False,DEF,90,2.31,12,5.5,3,1,0,13.92,3.0,0,69.29,0.5,4.0,Man City,True,Newcastle United,,
Rúben Santos Gato Alves Dias,Man City,Newcastle United,,True,DEF,45,,4,4.2,0,0,0,14.95,3.8,0,68.6,0.48,0.0,Man City,False,Wolverhampton,,
Rúben Santos Gato Alves Dias,Man City,Wolverhampton,,False,DEF,0,,0,0.0,0,0,0,14.95,3.8,0,66.69,0.48,0.0,Man City,False,West Ham,,
Rúben Santos Gato Alves Dias,Man City,West Ham,2022-05-15,False,DEF,0,0.8,0,0.0,0,0,0,13.4,3.6,0,64.89,0.48,0.0,Man City,True,Aston Villa,,
Rúben Santos Gato Alves Dias,Man City,Aston Villa,2022-05-22,True,DEF,0,0.25,0,0.0,0,0,0,13.03,3.2,0,63.18,0.48,,Man City,False,West Ham,,
